no,facility,type,jigyosyo_cd,service_cd,vacancy,capacity,waiting_count,vacancy_date,public_value,checked_at_jst,feature_http_status,detail_http_status,status,error,feature_url,detail_url
478,やすらぎの園,特別養護老人ホーム,1374300174-00,510,0,116,66,2026-06-30,0/116人,2026-09-20T19:18:45+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374300174-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374300174-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
479,小川ホーム,特別養護老人ホーム,1374300190-00,510,0,77,159,2026-09-11,0/77人,2026-09-20T19:18:47+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374300190-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374300190-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
480,多摩済生園,特別養護老人ホーム,1374300166-00,510,2,154,0,2026-09-08,2/154人,2026-09-20T19:18:50+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374300166-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374300166-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
481,晴風苑,特別養護老人ホーム,1374303285-00,510,3,73,35,2026-09-16,3/73人,2026-09-20T19:18:52+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374303285-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374303285-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
482,villaあい小平,特別養護老人ホーム,1374303376-00,510,1,65,42,2026-05-14,1/65人,2026-09-20T19:18:54+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374303376-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374303376-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
483,小平グリーンてらす,特別養護老人ホーム,1374303392-00,510,,90,100,,,2026-09-20T19:18:56+09:00,200,200,ok_partial_public_value,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374303392-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374303392-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
484,グランてらす小平団地,特別養護老人ホーム,1374303822-00,510,,99,90,,,2026-09-20T19:18:59+09:00,200,200,ok_partial_public_value,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374303822-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1374303822-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
485,浅川苑,特別養護老人ホーム,1373501673-00,510,0,77,54,2026-09-15,0/77人,2026-09-20T19:19:01+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373501673-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373501673-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
486,マザアス日野,特別養護老人ホーム,1373500139-00,510,0,106,82,2026-08-01,0/106人,2026-09-20T19:19:03+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373500139-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373500139-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
487,豊かな里,特別養護老人ホーム,1373500394-00,510,0,0,80,2022-07-19,0/0人,2026-09-20T19:19:05+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373500394-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373500394-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
488,あすなろ,特別養護老人ホーム,1373501483-00,510,0,86,18,2025-07-24,0/86人,2026-09-20T19:19:08+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373501483-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373501483-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
489,シンフォニア,特別養護老人ホーム,1373502242-00,510,0,0,40,2025-08-18,0/0人,2026-09-20T19:19:10+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373502242-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373502242-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
490,ラペ日野,特別養護老人ホーム,1373502697-00,510,0,0,54,2025-07-29,0/0人,2026-09-20T19:19:12+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373502697-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373502697-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
491,花子,特別養護老人ホーム,1373502879-00,510,0,84,126,2026-07-22,0/84人,2026-09-20T19:19:15+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373502879-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373502879-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
